Date,Open,High,Low,Close,Volume
2018-01-01,101.73,102.2,100.63,100.78,2575414
2018-01-02,100.68,100.7,100.23,100.6,1814530
2018-01-03,101.61,101.62,101.59,101.6,1410175
2018-01-04,102.95,104.7,101.79,103.96,621701
2018-01-05,103.84,103.86,103.45,103.62,3089433
2018-01-08,103.1,104.27,101.0,103.29,4441631
2018-01-09,105.59,106.07,105.39,105.77,1564641
2018-01-10,106.42,107.68,106.24,107.02,1933043
2018-01-11,106.55,106.67,105.89,106.29,4411278
2018-01-12,107.43,108.42,106.86,107.19,748924
2018-01-15,106.13,106.6,105.21,106.48,3300860
2018-01-16,105.09,105.81,104.44,105.77,2590923
2018-01-17,105.6,106.4,105.4,106.18,2440711
2018-01-18,103.01,103.3,102.56,103.17,1863307
2018-01-19,100.51,102.42,100.39,100.53,2323334
2018-01-22,99.74,100.26,99.37,99.71,4210407
2018-01-23,97.82,98.32,97.22,98.23,3718451
2018-01-24,98.3,98.88,97.86,98.72,3872021
2018-01-25,97.87,98.4,96.29,97.4,690477
2018-01-26,96.24,96.58,94.59,95.37,1714596
2018-01-29,98.12,98.33,97.43,97.49,2435272
2018-01-30,97.16,98.13,97.12,97.19,4994369
2018-01-31,97.35,97.74,97.25,97.32,3067375
2018-02-01,95.54,95.89,95.13,95.27,679354
2018-02-02,96.02,96.2,93.39,94.52,2917741
2018-02-05,95.64,95.84,94.63,94.71,1892928
2018-02-06,93.66,93.96,92.06,93.1,1917003
2018-02-07,93.68,94.59,93.28,93.65,2682931
2018-02-08,93.01,93.46,92.67,92.84,1551636
2018-02-09,92.46,93.75,91.32,92.46,4285887
2018-02-12,91.22,91.88,91.1,91.65,3142159
2018-02-13,93.46,94.5,93.43,94.23,2513122
2018-02-14,94.34,94.48,91.89,94.23,2582214
2018-02-15,92.61,92.89,92.52,92.77,2063159
2018-02-16,93.21,94.7,92.74,93.94,3147765
2018-02-19,92.18,92.98,92.11,92.25,3537253
2018-02-20,94.03,94.18,92.07,92.56,1484943
2018-02-21,90.23,91.04,89.12,89.87,855431
2018-02-22,88.73,89.57,87.04,88.11,515141
2018-02-23,89.14,89.3,87.46,88.39,3417199
2018-02-26,89.24,90.41,88.62,89.4,3315263
2018-02-27,90.16,90.64,89.38,89.66,4282700
2018-02-28,89.05,89.9,89.02,89.53,4983900
2018-03-01,89.09,90.14,88.85,89.15,4061669
2018-03-02,87.22,87.39,86.39,87.2,1074679
2018-03-05,86.44,86.55,86.09,86.28,2193152
2018-03-06,85.35,86.38,84.8,85.71,4837074
2018-03-07,86.74,88.24,85.83,87.1,2837099
2018-03-08,87.85,88.79,86.77,87.57,2444741
2018-03-09,84.57,85.76,84.57,85.28,3350065
2018-03-12,85.67,85.9,85.6,85.72,1384094
2018-03-13,85.35,86.7,85.0,85.26,3164812
2018-03-14,84.26,85.1,83.98,84.42,4214150
2018-03-15,85.66,86.04,84.07,85.22,1324255
2018-03-16,86.69,87.96,86.19,86.56,1532564
2018-03-19,87.97,88.87,87.76,87.79,1681597
2018-03-20,86.36,87.23,85.47,86.72,1073684
2018-03-21,86.2,86.36,85.2,86.34,1919056
2018-03-22,86.67,87.03,86.55,86.79,3677640
2018-03-23,86.41,88.8,86.21,88.09,1013676
2018-03-26,87.04,87.85,86.59,87.48,990913
2018-03-27,87.54,87.68,87.13,87.27,2875804
2018-03-28,84.6,85.85,83.06,85.84,3230689
2018-03-29,84.35,84.79,82.38,84.33,640689
2018-03-30,85.38,85.39,85.23,85.38,1785801
2018-04-02,87.42,87.52,87.05,87.14,4570161
2018-04-03,86.8,87.18,86.21,87.08,733725
2018-04-04,87.68,88.49,86.9,88.41,1658175
